T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 18.93, 45.56, 26.42]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[323.2, 322.2, 321.3, 320.4]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[18.93, 45.56, 26.42, 18.0]",30,"[[1, 1, 1], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
"[316.6, 319.4, 320.9, 321.3]","[311.1, 311.4, 312.3, 313.5, 314.6, 315.0, 314.6, 313.7, 312.6, 311.6, 310.9, 310.4]","[45.56, 26.42, 18.0, 17.17]",60,"[[0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[312.2, 313.4, 314.4, 315.8]","[310.6, 309.8, 309.2, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[26.42, 18.0, 17.17, 16.19]",90,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.1, 311.3, 311.6, 311.8]","[310.6, 309.8, 309.2, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[18.0, 17.17, 16.19, 30.74]",120,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.0, 311.0, 311.0, 311.0]","[310.6, 309.8, 309.2, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[17.17, 16.19, 30.74, 31.17]",150,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[321.4, 320.5, 319.5, 318.6]","[310.6, 309.8, 309.2, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[16.19, 30.74, 31.17, 16.18]",180,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[330.4, 329.5, 328.5, 327.6]","[310.6, 309.8, 309.2, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[30.74, 31.17, 16.18, 17.11]",210,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[317.8, 313.3, 310.0, 308.3]","[309.0, 308.6, 308.3, 308.1, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[31.17, 16.18, 17.11, 20.24]",240,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.0, 311.0, 311.1, 311.3]","[309.0, 308.6, 308.3, 308.1, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[16.18, 17.11, 20.24, 24.94]",270,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
